Measure,region_from,region_to,Measure_Type,value,Base_Region
di_kozachenko,lateraloccipital,insula,Bivariate,2.389093944395851,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,insula,Bivariate,8.767607050945577e-06,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,insula,Bivariate,0.005676606911547033,
ce_kozachenko,lateraloccipital,insula,Bivariate,1.4055295404069388,
cce_kozachenko,lateraloccipital,insula,Bivariate,4.470964472270728,
entropy_kozachenko,parsopercularis,parsopercularis,Univariate,1.3948281859183096,parsopercularis
AIS_kraskov,parsopercularis,parsopercularis,Univariate,0.030105917681993333,parsopercularis
je_kozachenko,lateraloccipital,parsopercularis,Bivariate,2.8371602128055007,
si_kozachenko_k-1,lateraloccipital,parsopercularis,Bivariate,0.010944492093878377,
mi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,-0.0013971659554012916,
tlmi_kraskov_NN-4,lateraloccipital,parsopercularis,Bivariate,-0.01579718473957037,
di_kozachenko,lateraloccipital,parsopercularis,Bivariate,2.3546768470576236,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,1.0096562822658565e-05,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,parsopercularis,Bivariate,-0.011404648625150893,
ce_kozachenko,lateraloccipital,parsopercularis,Bivariate,1.4285629237761532,
cce_kozachenko,lateraloccipital,parsopercularis,Bivariate,4.562751088620557,
entropy_kozachenko,fusiform,fusiform,Univariate,1.4240101543264911,fusiform
AIS_kraskov,fusiform,fusiform,Univariate,0.040771627542799393,fusiform
je_kozachenko,lateraloccipital,fusiform,Bivariate,2.8377610774356996,
si_kozachenko_k-1,lateraloccipital,fusiform,Bivariate,0.04960589298214968,
mi_kraskov_NN-4,lateraloccipital,fusiform,Bivariate,0.010187053947323221,
tlmi_kraskov_NN-4,lateraloccipital,fusiform,Bivariate,0.011258603427064529,
di_kozachenko,lateraloccipital,fusiform,Bivariate,2.4998749266745577,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,fusiform,Bivariate,0.00029111869769173337,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,fusiform,Bivariate,-0.004527347467197629,
ce_kozachenko,lateraloccipital,fusiform,Bivariate,1.4294737990135702,
cce_kozachenko,lateraloccipital,fusiform,Bivariate,4.425637966108884,
entropy_kozachenko,lingual,lingual,Univariate,1.3750095891167673,lingual
AIS_kraskov,lingual,lingual,Univariate,0.03118534743996726,lingual
je_kozachenko,lateraloccipital,lingual,Bivariate,2.8070535511316934,
si_kozachenko_k-1,lateraloccipital,lingual,Bivariate,0.0779067028176228,
mi_kraskov_NN-4,lateraloccipital,lingual,Bivariate,0.0426764659284018,
tlmi_kraskov_NN-4,lateraloccipital,lingual,Bivariate,0.008664779829899771,
di_kozachenko,lateraloccipital,lingual,Bivariate,2.451907769245791,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,lingual,Bivariate,0.0007881039210495058,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,lingual,Bivariate,0.01295035847626913,
ce_kozachenko,lateraloccipital,lingual,Bivariate,1.3983378507459698,
cce_kozachenko,lateraloccipital,lingual,Bivariate,4.462580080901192,
entropy_kozachenko,parsorbitalis,parsorbitalis,Univariate,1.4194015651217242,parsorbitalis
AIS_kraskov,parsorbitalis,parsorbitalis,Univariate,0.052865728004642065,parsorbitalis
je_kozachenko,lateraloccipital,parsorbitalis,Bivariate,2.8014530130812676,
si_kozachenko_k-1,lateraloccipital,parsorbitalis,Bivariate,-0.06705715679288948,
mi_kraskov_NN-4,lateraloccipital,parsorbitalis,Bivariate,0.015834845095248795,
